"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"12",1,0.384,3,3.25,2.225,2,0.820314980154981,"5/-10"
"12",1,0.49,3,4,2.36666666666667,2.25,0.977525219907679,"5/-10"
"12",1,0.29,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"5/-10"
"12",1,0.291,3,3.5,2.35,2.25,0.906764700582363,"5/-10"
"12",1,0.336,3,2.87500000000001,1.9625,2,0.731365731582589,"5/-10"
"12",1,0.236,2,3.5,2.05,2,0.895978670381042,"5/-10"
"12",1,0.438,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"5/-10"
"12",1,0.312,3,4,2.31666666666666,2.25,0.924461805392537,"5/-10"
"12",1,0.299,4,5.5,3.3,3.25,1.3984117975602,"5/-10"
"12",1,0.195,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"5/-10"
"12",1,0.296,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"5/-10"
"12",1,0.346,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"5/-10"
"12",1,0.394,3,3.5,1.83333333333333,2,0.838870492807862,"5/-10"
"12",1,0.226,3,4,2.66666666666667,3,1.12216721537356,"5/-10"
"12",1,0.294,2,3,1.93333333333333,2,0.712325352214427,"5/-10"
"12",1,0.347,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"5/-10"
"12",1,0.595,3,4,2.5,2.5,0.849836585598798,"5/-10"
"12",1,0.329,2,3.5,2.1625,2.25,0.920541054670205,"5/-10"
"12",1,0.278,4,4,2.15,2,1.15590272562665,"5/-10"
"12",1,0.29,3,3.25,1.98333333333333,2,0.815361769286992,"5/-10"
"12",1,0.327,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"5/-10"
"12",1,0.321,4,5,2.7,2.5,1.33749350984926,"5/-10"
"12",1,0.378,2,3,2,2,0.816496580927724,"5/-10"
"12",1,0.901,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"1/-1"
"12",1,0.959,2,3,2.11666666666667,2,0.711675123551106,"1/-1"
"12",1,0.982,3,3.25,2.225,2,0.820314980154981,"1/-1"
"12",1,0.975,3,4,2.36666666666667,2.25,0.977525219907679,"1/-1"
