"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"0.12",1,0.266,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"5/-10"
"0.12",1,0.433,2,2.2,1.42,1,0.545282801244761,"5/-10"
"0.12",1,0.704,1,2.33333333333333,1.51666666666667,1.41666666666667,0.558049955726563,"5/-10"
"0.12",1,1,3,4.27777777777778,1.86666666666667,1,1.24176298408431,"1/-1"
"0.12",1,1,3,4,2.26,2.4,1.0319345371141,"1/-1"
"0.12",1,1,1,2.5,1.35,1,0.579750904364203,"1/-1"
"0.12",1,1,3,2.57777777777778,1.56333333333333,1.25,0.648831973188351,"1/-1"
"0.12",1,1,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"1/-1"
"0.12",1,1,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"1/-1"
"0.12",1,1,3,2.9,1.644,1,0.847626752238928,"1/-1"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"1/-1"
"0.12",1,1,2,2.25,0.87468112244898,1,1.01154137052087,"1/-1"
"0.12",1,1,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"1/-1"
"0.12",1,1,4,3.8,2.14,2,1.13548814759703,"1/-1"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"1/-1"
"0.12",1,1,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"1/-1"
"0.12",1,1,2,2.2,1.42,1,0.545282801244761,"1/-1"
"0.12",1,1,1,2.33333333333333,1.51666666666667,1.41666666666667,0.558049955726563,"1/-1"
"0.12",1,0.817,3,4.27777777777778,1.86666666666667,1,1.24176298408431,"1/-5"
"0.12",1,0.772,3,4,2.26,2.4,1.0319345371141,"1/-5"
"0.12",1,0.811,1,2.5,1.35,1,0.579750904364203,"1/-5"
"0.12",1,0.789,3,2.57777777777778,1.56333333333333,1.25,0.648831973188351,"1/-5"
"0.12",1,0.999,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"1/-5"
"0.12",1,0.554,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"1/-5"
"0.12",1,0.756,3,2.9,1.644,1,0.847626752238928,"1/-5"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"1/-5"
"0.12",1,0.704,2,2.25,0.87468112244898,1,1.01154137052087,"1/-5"
"0.12",1,0.731,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"1/-5"
"0.12",1,0.737,4,3.8,2.14,2,1.13548814759703,"1/-5"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"1/-5"
"0.12",1,0.613,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"1/-5"
"0.12",1,0.679,2,2.2,1.42,1,0.545282801244761,"1/-5"
"0.12",1,0.957,1,2.33333333333333,1.51666666666667,1.41666666666667,0.558049955726563,"1/-5"
"0.12",1,0.573,3,4.27777777777778,1.86666666666667,1,1.24176298408431,"1/-10"
